Character,Dialogue
asgardian pa,"This is the Asgardian refugee vessel Statesman. We are under assault, I repeat, we are under assault - The engines are dead, life support failing. Requesting aid from any vessel within range. We are 22 jump points out of Asgard. [the voice becomes more desperate and pleading] Our crew is made up of Asgardian families, we have very few soldiers here. This is not a warcraft. I repeat, this is not a warcraft!"
ebony maw,"Hear me, and rejoice. You have had the privilege of being saved by the Great Titan... You may think this is suffering... No. it is salvation. Universal scales tip toward balance because of your sacrifice. Smile... [Corvus Glaive stabs one of the lingering Asgardians] For even in death, you have become Children of Thanos."
Thor,[now being held by Thanos with one huge hand wrapping around his head; blood drools from his mouth] You talk too much.
thanos,"[to Loki] The Tesseract, or your brother's head. I assume you have a preference."
Loki,"Oh, I do. Kill away!"
Loki,"[starts losing his cool demeanor almost immediately as Thor suffers, and breaks after only a few moments] ALL RIGHT, STOP!"
Thor,We don't have the Tesseract. It was destroyed on Asgard.
Thor,You really are the worst brother.
Loki,"[While holding the Tesseract out to Thanos and advancing] I assure you, brother... the sun will shine on us again."
thanos,"Your optimism is misplaced, Asgardian."
Loki,"Well, for one thing, I'm not Asgardian. And for another... We have a Hulk."
ebony maw,Let him have his fun.
Heimdall,[prays] Allfathers… let the dark magic flow through me one last... time.
thanos,That was a mistake.
Thor,NO!!! [after Thanos kills Heimdall] You're going to die for that!
ebony maw,[shuts Thor's mouth with his telekinesis] Shhh.
ebony maw,"[kneels before Thanos, offering up the Tesseract] My humble personage… bows before your grandeur. No other being has ever had the might, nay the nobility, to wield not one, but two Infinity Stones. The universe lies within your grasp."
thanos,"There are two more Stones on Earth. Find them, my children, and bring them to me on Titan."
proxima midnight,"[kneeling] Father, we will not fail you."
Loki,"[Emerging from behind the Black Order] [cheerfully] If I might interject… If you're going to Earth, you might want a guide. I do have a bit of experience in that arena."
thanos,[unimpressed] If you consider failure experience.
Loki,"I consider experience, experience. Almighty Thanos, I... Loki... Prince of Asgard... [looks significantly at Thor] Odinson... The rightful King of Jotunheim... God of Mischief... do hereby pledge to you, my undying fidelity."
thanos,"""Undying."" You should choose your words more carefully."
Loki,"[Giving up on fighting against Thanos] You will... never be... a god. [Thanos crushes Loki's neck, killing him]"
thanos,[walks over and drops Loki's body in front of Thor] No resurrections this time.
Thor,No… Loki…
doctor e,[dressed in casual American clothes] Seriously? You don't have any money?
Wong,[dressed as Wong is always dressed] Attachment to the material is detachment from the spiritual.
doctor e,I'll tell the guys at the deli. [wryly] Maybe they'll make you a metaphysical ham on rye.
Wong,"Oh, wait, wait, wait, I think I have 200."
doctor e,Dollars?
Wong,Rupees.
doctor e,Which is?
Wong,"Uh, buck and a half."
doctor e,What do you want?
Wong,I wouldn't say no to a tuna melt.
Bruce Banner,Thanos is coming. He's coming...
doctor e,"[Sharing a look with Wong, and now fully in his mage attire] Who?"
Tony Stark,"Slow down, slow down. I'm totally not kidding."
Pepper Potts,[laughing slightly and talking over him] You're totally rambling.
Tony Stark,"[also talking over her] No, I'm not."
Pepper Potts,Lost me.
Tony Stark,"Look, you know how you're having a dream, and in the dream you gotta pee?"
Pepper Potts,Yeah.
Tony Stark,"Okay, and then you're like, ""Oh my god, there's no bathroom, what am I gonna do?"" ""Oh! Someone's watching."" ""I'm gonna go in my pants."""
Pepper Potts,"Right. And then you wake up, and in real life you actually have to pee."
Tony Stark,Yes.
Pepper Potts,Yeah. Everybody has that.
Tony Stark,"Right! That's the point I'm trying to make. Apropos of that, last night, I dreamt, we had a kid. So real. We named him after your eccentric uncle. Uh, what was his name?"
Pepper Potts,[Nodding in understanding] Right.
Tony Stark,Morgan! Morgan.
Pepper Potts,"So you woke up, and thought that we were..."
Tony Stark,Expecting.
Pepper Potts,Yeah.
Tony Stark,[Becoming excited] Yes?
Pepper Potts,[Shaking her head] No.
Tony Stark,I had a dream about it. It was so real.
Pepper Potts,"If you wanted to have a kid, you wouldn't have done that."
Tony Stark,"I'm glad you brought this up, 'cause it's nothing. It's just a housing unit for nano particles."
Pepper Potts,"It's not helping your case, OK?"
Tony Stark,"No, no, it's an attachment, it's not a-"
Pepper Potts,[insistently] You don't need that.
Tony Stark,"I know. I had the surgery. I'm just trying to protect us. The future usses, and that's it. Just in case there's a monster in the closet, instead of, you know..."
Pepper Potts,Shirts?
Tony Stark,You know me so well. You finish all my sentences.
Pepper Potts,You should have shirts in your closet.
Tony Stark,Yeah. You know what there should be? No more surprises. We're gonna have a nice dinner tonight. Show off this Harry Win-stone. Right? And we should have no more surprises. Ever. I should promise you.
Pepper Potts,Yes.
Tony Stark,I will. [Tony kisses Pepper.]
doctor e,"Tony Stark, I'm Doctor Stephen Strange. I need you to come with me. Oh, uh, congratulations on the wedding, by the way."
Tony Stark,"I'm sorry, you giving out tickets or something?"
doctor e,"We need your help. Look, it's not overselling to say that the fate of the universe is at stake."
Tony Stark,"And who's ""we""?"
Bruce Banner,"[emerges from behind Doctor e] Hey, Tony."
Tony Stark,[looking surprised] Bruce.
Bruce Banner,Pepper.
Pepper Potts,Hi.
Tony Stark,You okay?
Wong,"[Using magic to show the universe and five out of six Infinity Stones] From the dawn of the universe, there was nothing. Then, boom! The Big Bang sent six elemental crystals, hurtling across the virgin universe. These Infinity Stones each control an essential aspect of existence."
doctor e,[Each Stone lights up as Strange names them.] Space. Reality. Power. Soul. Mind. And Time.
Tony Stark,[very attentive] Tell me his name again.
Bruce Banner,"Thanos. He's a plague, Tony. He invades planets. He takes what he wants. He wipes out half the population. He sent Loki. The attack on New York. That's him."
Tony Stark,[Speaking to himself] This is it... What's our timeline?
Bruce Banner,"No telling. He has the Power and Space Stones, that already makes him the strongest creature in the whole universe. If he gets his hands, on all six Stones, Tony..."
doctor e,He can destroy life on a scale hitherto undreamt of.
Tony Stark,"[Leans against a cauldron, stretching like he's about to go for a run] Did you seriously just say ""hitherto undreamt of""?"
doctor e,Are you seriously leaning on the Cauldron of the Cosmos?
Tony Stark,Is that what this is...?
Tony Stark,"[looking offended] [straightening himself] I'm going to allow that. If Thanos needs all six, why don't we just stick this one down the garbage disposal?"
doctor e,No can do.
Wong,We swore an oath to protect the Time Stone. With our lives.
Tony Stark,"And I swore off dairy, but then, Ben & Jerry's named a flavor after me, so..."
doctor e,Stark Raving Hazelnuts.
Tony Stark,It's not bad.
doctor e,A bit chalky.
Wong,"""A Hunka-Hulka Burning Fudge"" is our favorite."
Bruce Banner,That's a thing?
Tony Stark,things change.
doctor e,Our oath to protect the Time Stone cannot change. This Stone may be the best chance we have against Thanos.
Tony Stark,"And still conversely, it may also be his best chance against us."
doctor e,"Well, if we don't do our jobs."
Tony Stark,"[Slightly condescending] What is your job exactly, besides making balloon animals?"
doctor e,"[Completely calm] Protecting your reality, douchebag."
Bruce Banner,"Okay, guys, could we table this discussion right now? The fact is that we have this Stone. We know where it is. Vision is out there somewhere with the Mind Stone, and we have to find him now."
Tony Stark,"[awkwardly] Yeah, that's the... thing."
Bruce Banner,What do you mean?
Tony Stark,"Two weeks ago, Vision turned off his transponder. He's offline."
Bruce Banner,"What? Tony, you lost another super bot?"
Tony Stark,I didn't lose him. He's more than that. He's evolving.
doctor e,"Who could find Vision, then?"
Tony Stark,[quietly to himself] Shit. [to the other men in a normal tone] Probably Steve Rogers.
doctor e,"[sighing in exasperation] Oh, great."
Tony Stark,Maybe. But... [sighs]
Bruce Banner,[missing the events of the Avengers' Civil War] Call him.
Tony Stark,"It's not that easy. God, we haven't caught up in a spell, have we?"
Bruce Banner,No.
Tony Stark,The Avengers broke up. We're toast.
Bruce Banner,[Rather surprised and slightly let-down] Broke up? Like a band? Like The Beatles?
Tony Stark,Cap and I fell out hard. We're not on speaking terms.
Bruce Banner,"[Almost pleading] Tony, listen to me. Thor's gone. Thanos is coming. It doesn't matter who you're talking to or not."
Tony Stark,"Say, Doc, you wouldn't happen to be moving your hair, would you?"
doctor e,"[Looking up at his forelock fluttering] Not at the moment, no."
Tony Stark,You okay?
Tony Stark,"Help him! Wong, Doc."
Bruce Banner,Go! Got it!
Tony Stark,"[Putting on his sunglasses] F.R.I.D.A.Y., what am I looking at?"
f.r.i.d.a.y.,"Not sure, I'm working on it."
Tony Stark,"Hey! You might wanna put that Time Stone in your back pocket, Doc!"
doctor e,[Bands of spells are readied around his forearms] Might wanna use it.
peter parker,"[Tapping his best friend in the seat in front of him] Ned, hey. I need you to cause a distraction."
ned leeds,[Turns around and sees the spaceship] Holy shit! We're all gonna die! There's a spaceship!
Tony Stark,"F.R.I.D.A.Y., evac anyone south of 43rd Street, notify first responders."
f.r.i.d.a.y.,Will do.
ebony maw,"Hear me, and rejoice. You are about to die at the hands of the Children of Thanos. Be thankful, that your meaningless lives are now contributing to..."
Tony Stark,"[Echoing the familiarly defiant 2008 Tony Stark] I'm sorry, Earth is closed today. You better pack it up and get outta here."
ebony maw,[Looks at e] Stonekeeper... [Gestures to Tony] Does this chattering animal speak for you?
doctor e,"Certainly not. I speak for myself. [Magical shields are readied with his fists, stepping forward.] But you’re trespassing in this city and on this planet. [Wong emulates him.]"
Tony Stark,"It means get lost, Squidward!"
ebony maw,He exhausts me.
cull obsidian,[Two untranslated syllables]
ebony maw,Bring me the Stone.
cull obsidian,[Three untranslated syllables] [He drops his huge alien hammer and drags it along as he obeys his brethren.]
Tony Stark,"Banner, you want a piece?"
Bruce Banner,"No, not really, but when do I ever get what I want?"
Tony Stark,That's right.
Tony Stark,"Been a while. Good to have you, buddy."
Bruce Banner,"I just... I need to concentrate here for one second. Come on, come on, man."
Tony Stark,Where's your guy?
Bruce Banner,I don't know. We've sort been havin' a thing.
Tony Stark,There's no time for a thing.
Bruce Banner,I know.
Tony Stark,[points at the approaching Obsidian] That's the thing right there. Let's go.
Tony Stark,"[glances at e] Dude, you're embarrassing me in front of the wizards."
Bruce Banner,"Tony, I'm sorry. [stammers] Either I can't or he won't-"
Tony Stark,"It's okay. Hey, stand down. [to Wong] Keep an eye on him. Thank you."
Wong,I have him.
Bruce Banner,Damn it.
Bruce Banner,Where'd that come from?
Tony Stark,It's nano-tech. You like it? A little somet-
doctor e,"Dr. Banner, if the rest of your green friend won't be joining us..."
Tony Stark,"Gotta get that stone outta here, now."
doctor e,It stays with me.
Tony Stark,Exactly. Bye.
Bruce Banner,"[Rushing over to Tony] Tony, you okay? How we doing? Good? bad?"
Tony Stark,"Really, really good. Really good. Do you plan on helping out?"
Bruce Banner,I'm trying. He won't come out.
Tony Stark,Hammer. [Pushes Bruce out of the way]
Bruce Banner,"[Crawling out from under the branches. Desperate and confused] Come on, Hulk. What are you doing to me? [starts slapping himself multiple times] Come out! Come out! Come out!"
Bruce Banner,[Half of Bruce's face becomes the Hulk.] Nooooooo! [Bruce falls back exhausted into his tree]
Bruce Banner,"What do you mean, ""no""?!"
peter parker,"Hey, man. What's up, Mr. Stark?"
Tony Stark,"Kid, where'd you come from?"
peter parker,Field trip to MoMA.
peter parker,"What is this guy's problem, Mr. Stark?"
Tony Stark,He's from space. He came here to steal a necklace from a wizard.
ebony maw,Your powers are quaint. You must be popular with children.
doctor e,It's a simple spell but quite unbreakable.
ebony maw,[Vehemently.] Then I'll take it off your corpse.
doctor e,You'll find... removing a dead man's spell... troublesome.
ebony maw,"You'll only wish you were dead. [e falls unconscious and to the ground; Maw raises a portion of street pavement to use as a carrier, but the Cloak of Levitation works its master loose of the cable spiral and flies Strange away] NO!"
Tony Stark,"[Still fighting Cull Obsidian, as e passes through the park] Kid, that's the wizard. Get on it."
peter parker,On it!
peter parker,[untangles himself] Not cool!
peter parker,"Uhh, Mr. Stark? I'm being beamed up!"
Tony Stark,"Hang on, kid. [Cull Obsidian's hammer doubles as a claw, pinning Tony to the ground and shorting his suit. As Obsidian jumps towards Tony, blades ready to end this fight, he is sent through a portal instead. The alien turns and leaps to return the same way, but Wong closes it rapidly -- only Obsidian's severed hand makes it back to the park. Bruce kicks the hand away with a noise of disgust.]"
